asserted_class,control,core_accepted,failure_reasons,gate_status,hard_gates_passed,identity_passed,identity_prediction,identity_probability,seed,source_class,source_file
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,16,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,16,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,16,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,17,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,17,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,17,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,18,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,18,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,18,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,19,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,19,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,19,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,20,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,20,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,20,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,21,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,21,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,21,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,22,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,22,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,22,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,23,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,23,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,23,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,24,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,24,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,24,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,25,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,25,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,25,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,26,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,26,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,26,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,27,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,27,normal_machining,1_1
base_imbalance,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,27,normal_machining,1_1
normal_machining,real_true_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,28,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,28,normal_machining,1_1
base_imbalance,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,28,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,29,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,29,normal_machining,1_1
base_imbalance,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,29,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,30,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,30,normal_machining,1_1
base_imbalance,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,30,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,31,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,31,normal_machining,1_1
base_imbalance,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,31,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,32,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,32,normal_machining,1_1
base_imbalance,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,32,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,33,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,33,normal_machining,1_1
base_imbalance,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,33,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,34,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,34,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,34,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,35,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,35,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,35,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,36,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,36,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,36,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,37,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,37,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,37,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,38,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,38,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,38,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,39,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,39,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,39,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,40,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,40,normal_machining,1_1
base_imbalance,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,40,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,41,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,41,normal_machining,1_1
base_imbalance,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,41,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,42,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,42,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,42,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,43,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,43,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,43,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,44,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,44,normal_machining,1_1
base_imbalance,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,44,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,45,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,45,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,45,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,46,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,46,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,46,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,47,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,47,normal_machining,1_1
base_imbalance,wrong_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,47,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,48,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,48,normal_machining,1_1
base_imbalance,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,48,normal_machining,1_1
normal_machining,real_true_label,True,,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,True,normal_machining,1.0,49,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,49,normal_machining,1_1
base_imbalance,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,49,normal_machining,1_1
normal_machining,real_true_label,False,psd_w1,"{""psd_w1"":false,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",False,False,not_evaluated_after_hard_gate_failure,0.0,50,normal_machining,1_1
lead_screw_anomaly,wrong_label,False,class_identity,"{""psd_w1"":true,""sanity"":true,""soft_spectrum"":true,""stats_union"":true}",True,False,normal_machining,0.0,50,normal_machining,1_1
