accepted,candidate_sha256,class_identity_passed,class_identity_prediction,class_identity_probability,class_name,diversity_minimum,diversity_passed,expansion_id,failure_reasons,hard_gates_passed,nearest_train_distance,round_id,slot,verifier_feasible
False,9002403900452e9e53aa788c1ab27165fe6af9661631b75e0024e50a1e9133e1,True,normal_machining,0.9075,normal_machining,3.693709878562434,True,1,slot_already_retained,True,8.067036786251595,2,3,True
False,37cb6bb08690e035caf6bc1a85066d5bf0f1d4acc84c6448be008c2f6073257c,True,normal_machining,0.9225,normal_machining,3.693709878562434,True,2,slot_already_retained,True,7.001230234378263,2,3,True
True,0184affe8818996c9727e0056518c01b868b6954f8fc2eaaad19a10d1b4b1e51,True,lead_screw_anomaly,0.9725,lead_screw_anomaly,2.4236589111645213,True,0,,True,6.761583779538762,1,3,True
False,95bd6076af1246ea5a47509c13fdcaad0c25e6a55b2fe655404383a42131ae6a,True,lead_screw_anomaly,0.9825,lead_screw_anomaly,2.4236589111645213,True,1,slot_already_retained,True,6.447045173748032,1,3,True
False,73cc86f76a31a92c1fe0e9e27a6f68a4d20f61c0f074115cd550f5c5ebe31f1f,True,lead_screw_anomaly,0.97,lead_screw_anomaly,2.4236589111645213,True,2,slot_already_retained,True,7.185189326257668,1,3,True
True,f3cc1aa07896a9e09c6a179b9d0829fa266c34d47d6cea235e90cc131457b97c,True,base_imbalance,0.92,base_imbalance,3.49985822652848,True,0,,True,7.48296277448356,2,3,True
False,ce6c0f0921d624b3baa0c6863b816ccc712f63725ae82f0fd5fe0ecc732d30e2,True,base_imbalance,0.925,base_imbalance,3.49985822652848,True,1,slot_already_retained,True,6.845373009535897,2,3,True
False,e8df158895e5a797d8c5b05ee764736dd11fa4a61f9ea689343d40fa8745d50b,True,base_imbalance,0.9325,base_imbalance,3.49985822652848,True,2,slot_already_retained,True,5.8029235700805355,2,3,True
True,7b6b259f57d7c15cab41bdc16d3ef98dbe311a5b5056ef332f77978d2643e577,True,normal_machining,0.955,normal_machining,3.693709878562434,True,0,,True,7.196806185610605,0,4,True
False,61445facbf84b619217b6623a279690d7ac59b8cce53ad32eeb157374e94b658,True,normal_machining,0.94,normal_machining,3.693709878562434,True,1,slot_already_retained,True,8.244238441512856,0,4,True
False,25b412e2fd6e116bb99bd2b4094ddbe245b0017fca1b8b1ef1965b6fdcf7be8f,True,normal_machining,0.94,normal_machining,3.693709878562434,True,2,slot_already_retained,True,8.547288084365487,0,4,True
False,cf116d54dc56254ca00045cd7e2652bda98a6984da43bd6171d128f2471f16ea,True,lead_screw_anomaly,0.8275,lead_screw_anomaly,2.4236589111645213,True,0,psd_w1,False,10.292720837842296,1,4,False
False,59e5063fe7c3bc2c2e6a3ab84243ad722fead70c241a3a958cb62e3627a52370,True,lead_screw_anomaly,0.8325,lead_screw_anomaly,2.4236589111645213,True,1,psd_w1,False,10.304502701117645,1,4,False
False,5116b4160cae652543877593c0754b561dc432fe27ebb6c5cdccd637e65e8fc3,True,lead_screw_anomaly,0.835,lead_screw_anomaly,2.4236589111645213,True,2,psd_w1,False,10.881274580576742,1,4,False
True,e7221b86d9b87c83c9e2cec9cc9777c6163415cf1f9f16fe0897549af16b05cf,True,normal_machining,0.9675,normal_machining,3.693709878562434,True,0,,True,7.863358995367694,1,5,True
False,8dc6f2eaa5db9274c11b8fcbf6e1ace68b9d422ce17cfc3fb161e1f713dfbd2a,True,normal_machining,0.9725,normal_machining,3.693709878562434,True,1,slot_already_retained,True,6.582711057588903,1,5,True
False,f41c294c875c096498d16f13491958cade8204dae2d816ea01c7f34598418e35,True,normal_machining,0.975,normal_machining,3.693709878562434,True,2,slot_already_retained,True,5.664070355711975,1,5,True
True,449dc2fceac326031b1adb66b9c339f5c644953dac37fe85fdbb9e93676beb20,True,lead_screw_anomaly,0.5475,lead_screw_anomaly,2.4236589111645213,True,0,,True,4.654158008448198,1,5,True
False,c199fb58b7286a4c7a2a43da3f4680ff3e1e8db9c739fb2d0b5b0acfe31a0564,True,lead_screw_anomaly,0.5775,lead_screw_anomaly,2.4236589111645213,True,1,slot_already_retained,True,4.3160131678265286,1,5,True
False,3741a5b6159c6b91333070d8ac37aa1e09377c9db9facc660f2caac20cdcc652,True,lead_screw_anomaly,0.59,lead_screw_anomaly,2.4236589111645213,True,2,slot_already_retained,True,4.337033857804968,1,5,True
True,e0abb734baadfa70ec7b391296ac9f060b53f2ff8d748826483ad4343c1314c5,True,base_imbalance,0.965,base_imbalance,3.49985822652848,True,0,,True,6.946493445801877,1,5,True
False,0c03825b7fbfbe93c49d7458247ab3a80f91e0891e66d6191258e640c98cff4a,True,base_imbalance,0.9475,base_imbalance,3.49985822652848,True,1,slot_already_retained,True,6.669340295722661,1,5,True
False,f961b58c3cde98a3d299e9d9e30806f4316fcbd6581ffc8044720edff01eb9d4,True,base_imbalance,0.925,base_imbalance,3.49985822652848,True,2,slot_already_retained,True,9.354062221086304,1,5,True
True,98fbeabdcd572fc7e2fa2b57510ef1be4464e4147c4471e539c5ef947c47f7d9,True,lead_screw_anomaly,0.9775,lead_screw_anomaly,2.4236589111645213,True,0,,True,6.183312890517468,0,6,True
False,e5421ecdecdc6fc9951adf128e6010a57e5f9a829e2b4c0ff807cbd8a2696da9,True,lead_screw_anomaly,0.9675,lead_screw_anomaly,2.4236589111645213,True,1,slot_already_retained,True,6.658213409193088,0,6,True
False,93043ddc0e3daa672a886afd29531ca0449903045e8eb00a9387a7a348b31223,True,lead_screw_anomaly,0.9675,lead_screw_anomaly,2.4236589111645213,True,2,slot_already_retained,True,6.611597183140901,0,6,True
True,9397a9e606ef16f940856b228980ac8eaa7f86cad07c31e4d36982f875b0f6bb,True,normal_machining,0.965,normal_machining,3.693709878562434,True,0,,True,7.963112194163354,1,7,True
False,def3adeab1b264cc12e3678a47f7059979b243a656f34098f4393657729dcb1e,True,normal_machining,0.9625,normal_machining,3.693709878562434,True,1,slot_already_retained,True,8.153692286433833,1,7,True
False,6a32d34c973e38e3dee67ea9bb515bd34d51bc1258aa1e8f2189607e58e079f7,True,normal_machining,0.9575,normal_machining,3.693709878562434,True,2,slot_already_retained,True,5.509446454994106,1,7,True
